,loss
0,3.2046852111816406
1,3.111130475997925
2,3.045924186706543
3,2.992846727371216
4,2.94681453704834
5,2.9054830074310303
6,2.867551803588867
7,2.8322150707244873
8,2.7989349365234375
9,2.7673304080963135
10,2.737124443054199
11,2.7081058025360107
12,2.6801111698150635
13,2.653010606765747
14,2.6267006397247314
15,2.601094961166382
16,2.576122522354126
17,2.5517256259918213
18,2.527853012084961
19,2.504462480545044
20,2.481517791748047
21,2.4589874744415283
22,2.4368443489074707
23,2.4150638580322266
24,2.3936264514923096
25,2.3725130558013916
26,2.3517067432403564
27,2.3311941623687744
28,2.3109614849090576
29,2.290998697280884
